stage_gb,check_id,sub_category,description,stratum1,stratum_2,stratum_3,stratum_4,stratum_5,stratum_6,err_gb
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,1,attribute_definition,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,2,care_site,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,3,cdm_source,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,4,cohort,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,5,cohort_attribute,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,6,cohort_definition,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,7,concept,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,8,concept_ancestor,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,9,concept_class,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,10,concept_relationship,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,11,concept_synonym,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,12,condition_era,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,13,condition_occurrence,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,14,cost,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,15,death,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,16,device_exposure,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,17,domain,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,18,dose_era,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,19,drug_era,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,20,drug_exposure,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,21,drug_strength,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,22,fact_relationship,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,23,location,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,24,measurement,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,25,metadata,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,26,note,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,27,note_nlp,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,28,observation,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,29,observation_period,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,30,payer_plan_period,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,31,person,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,32,procedure_occurrence,NULL,NULL,NULL,NULL,ERROR
CDM,C1,Conformance-value,Table name validation check with OMOP CDM defienition,33,provider,NULL,NULL,NULL,NULL,ERROR
